occ,portability,weighted_employment,portability_per_million,occ_title,rank,percentile,rank_per_worker,percentile_per_worker
960,0.4007505317218803,530803.5774000001,0.7549883775931768,Other financial specialists,155,70.66666666666667,51,90.47619047619048
102,0.395397133864932,753070.1113,0.5250469085572538,Facilities managers,156,70.47619047619047,97,81.71428571428572
101,0.39143901809167647,410077.6323,0.9545485714405215,Administrative services managers,157,70.28571428571428,16,97.14285714285714
3110,0.3868908970128513,916095.7143,0.42232584540413376,Physician assistants,158,70.0952380952381,157,70.28571428571428
5360,0.38280998515735415,369557.0296,1.0358617330908273,"Human resources assistants, except payroll and timekeeping",159,69.9047619047619,14,97.52380952380952
3910,0.3767534562827134,632938.6987000001,0.5952447797180541,Private detectives and investigators,160,69.71428571428571,77,85.52380952380952
726,0.3762508517192715,533572.9639,0.7051535163423063,Fundraisers,161,69.52380952380952,57,89.33333333333333
3300,0.3734471854370197,1960963.2454,0.1904406858787623,Clinical laboratory technologists and technicians,162,69.33333333333334,355,32.57142857142858
1970,0.3648021695218021,1738436.574,0.20984496931195035,"Other life, physical, and social science technicians",163,69.14285714285715,335,36.38095238095238
5100,0.36283060451982535,561604.7604,0.6460604149106591,Bill and account collectors,164,68.95238095238095,68,87.23809523809524
4621,0.35990105149457535,1268056.1538,0.28382106771538096,Exercise trainers and group fitness instructors,165,68.76190476190476,258,51.04761904761905
1010,0.35876369254854507,2364149.5987,0.15175168811052495,Computer programmers,166,68.57142857142857,410,22.09523809523809
60,0.358686526668877,693558.1085999999,0.5171686729939805,Public relations and fundraising managers,167,68.38095238095238,105,80.19047619047619
3870,0.35762483407951867,3920655.0377,0.09121558276377063,Police officers,168,68.19047619047619,481,8.571428571428575
8810,0.3563257853023454,886757.1240000001,0.4018301918963161,Painting workers,169,68.0,166,68.57142857142857
3424,0.3539927065820743,762830.0228,0.46405188049983803,Veterinary technologists and technicians,170,67.80952380952381,132,75.04761904761905
220,0.352730575766334,5720339.8065,0.061662521405726214,Construction managers,171,67.61904761904762,503,4.380952380952385
2006,0.34956662130846944,1406231.5614999998,0.2485839678748168,"Counselors, all other",172,67.42857142857143,296,43.80952380952381
5730,0.34913939112741266,394679.5922,0.8846147559372406,Medical secretaries and administrative assistants,173,67.23809523809523,22,96.0
9150,0.34912450811699625,910737.0208,0.3833428312931893,"Motor vehicle operators, all other",174,67.04761904761905,181,65.71428571428571
4140,0.34878815812166736,1281825.4832000001,0.2721026869047249,Dishwashers,175,66.85714285714286,271,48.57142857142858
7700,0.34426773951126005,4219399.6269,0.08159164098049518,First-line supervisors of production and operating workers,176,66.66666666666667,487,7.428571428571429
3245,0.34339089294240577,1592510.2524,0.21562868585925704,"Therapists, all other",177,66.47619047619048,331,37.142857142857146
4000,0.34269475326561016,2628441.3504999997,0.13037945594655193,Chefs and head cooks,178,66.28571428571428,442,16.000000000000004
9121,0.33939270039511615,1166788.8057,0.2908775767620618,"Bus drivers, school",179,66.0952380952381,253,52.0
1021,0.33712881700596387,11959067.176800001,0.028190226881572928,Software developers,180,65.90476190476191,519,1.3333333333333308
4800,0.3368997018909001,769015.8215999999,0.43809202935506963,Advertising sales agents,181,65.71428571428571,143,72.95238095238095
8800,0.33441023488189037,1475624.8502,0.2266227997153652,Packaging and filling machine operators and tenders,182,65.52380952380952,322,38.857142857142854
6305,0.3339856537122906,2049349.0712,0.1629715788324557,Construction equipment operators,183,65.33333333333333,396,24.761904761904763
4500,0.33219744656892175,645976.3593,0.5142563528623574,Barbers,184,65.14285714285715,108,79.61904761904762
