occ,port_rate,rank,portability_index,portability_minmax,occ_title,weighted_employment
5250,0.0023615022050508363,197,0.6259541984732824,0.18129692382739085,"Eligibility interviewers, government programs",444031.7344
6240,0.002355485779144721,198,0.6240458015267176,0.18081170024642756,"Carpet, floor, and tile installers and finishers",802908.6009
4621,0.0023373740191142828,199,0.6221374045801527,0.17935099031720123,Exercise trainers and group fitness instructors,1268056.1538
3300,0.002325096809823016,200,0.6202290076335878,0.1783608357720436,Clinical laboratory technologists and technicians,1960963.2454
6515,0.0023139797274547296,201,0.6183206106870229,0.17746424523793247,Roofers,1219619.3482
4522,0.002297908568477805,202,0.616412213740458,0.1761681093873958,Skincare specialists,506263.6997
2001,0.0022856092739332846,203,0.6145038167938932,0.17517617367085211,Substance abuse and behavioral disorder counselors,758469.0241
4930,0.0022766082059824198,204,0.6125954198473282,0.17445023928858486,Sales engineers,264468.335
8255,0.002264024759694141,205,0.6106870229007634,0.17343538678908813,Printing press operators,731471.9407
930,0.002256468351223641,206,0.6087786259541985,0.17282596391336544,"Tax examiners and collectors, and revenue agents",374409.6904
137,0.002247046229528081,207,0.6068702290076335,0.17206607162835538,Training and development managers,326094.45879999996
5720,0.0022405487487414796,208,0.6049618320610687,0.17154205106469975,Legal secretaries and administrative assistants,243158.3108
9350,0.002223027735551912,209,0.6030534351145038,0.17012898475346908,Parking attendants,302661.3564
6305,0.002213900291796371,210,0.6011450381679388,0.16939285818709632,Construction equipment operators,2049349.0712
3601,0.002212272386674791,211,0.5992366412213741,0.16926156795517333,Home health aides,3179103.5507
1065,0.0022033758123112465,212,0.5973282442748091,0.16854406096043123,Database administrators and architects,743902.8183
340,0.002196369987766051,213,0.5954198473282443,0.1679790425713632,Lodging managers,642695.9062
4830,0.0021952594608978756,214,0.5935114503816794,0.16788947879510457,Travel agents,361718.4721
3258,0.002178759065756376,215,0.5916030534351144,0.1665587251312508,Nurse practitioners,1506353.3905
7260,0.0021753101444020977,216,0.5896946564885497,0.16628057029379442,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",514454.889
