occ,port_rate,rank,portability_index,occ_title,weighted_employment
726,0.0016006992046786143,276,0.4751908396946565,Fundraisers,533572.9639
2004,0.0015956342656187426,277,0.4732824427480916,Mental health counselors,997715.1274
3750,0.0015923475117796738,278,0.47137404580152675,Fire inspectors,123838.704
7220,0.0015746024485169335,279,0.4694656488549618,Heavy vehicle and mobile equipment service technicians and mechanics,1194604.5485
7855,0.0015659624027540373,280,0.4675572519083969,"Food processing workers, all other",767261.4637
1007,0.0015584525184692151,281,0.46564885496183206,Information security analysts,1074208.3432
5630,0.0015559098060286122,282,0.4637404580152672,"Weighers, measurers, checkers, and samplers, recordkeeping",367806.7078
2636,0.0015545694564593096,283,0.46183206106870234,Merchandise displayers and window trimmers,191938.2467
9760,0.0015330322565967505,284,0.45992366412213737,Other material moving workers,345539.4275
640,0.0015195766310827253,285,0.4580152671755725,"Compensation, benefits, and job analysis specialists",373807.7033
3150,0.0015056017629010727,286,0.45610687022900764,Occupational therapists,906866.9536
5250,0.001503982515003904,287,0.4541984732824428,"Eligibility interviewers, government programs",444031.7344
3647,0.001497307677280842,288,0.4522900763358778,Pharmacy aides,195141.6758
1560,0.0014878202299781357,289,0.45038167938931295,Surveying and mapping technicians,327532.1913
8610,0.001478853759908867,290,0.4484732824427481,Stationary engineers and boiler operators,426082.779
930,0.0014750998386566922,291,0.44656488549618323,"Tax examiners and collectors, and revenue agents",374409.6904
1305,0.0014624608917597405,292,0.44465648854961837,"Architects, except landscape and naval",1077970.6996
137,0.0014565404978121796,293,0.4427480916030534,Training and development managers,326094.45879999996
7130,0.0014558843776750214,294,0.44083969465648853,Security and fire alarm systems installers,309336.134
8830,0.0014536515161669278,295,0.4389312977099237,Photographic process workers and processing machine operators,142667.01069999998
3258,0.001440507080115403,296,0.4370229007633588,Nurse practitioners,1506353.3905
2751,0.0014327296605620712,297,0.43511450381679384,Music directors and composers,218541.0044
1032,0.001431834273346505,298,0.433206106870229,Web and digital interface designers,513520.1216
4330,0.0014299131603120604,299,0.4312977099236641,Supervisors of personal care and service workers,1214842.8823
1541,0.0014245256638912985,300,0.42938931297709926,Architectural and civil drafters,199960.10859999998
6050,0.0014106505525748286,301,0.4274809160305344,Miscellaneous agricultural workers,4091455.6186
7410,0.0014064059026199852,302,0.4255725190839694,Electrical power-line installers and repairers,745426.4659
4340,0.0013993482523715576,303,0.42366412213740456,Animal trainers,434387.7832
9350,0.0013970050553675098,304,0.4217557251908397,Parking attendants,302661.3564
6660,0.001393622983084904,305,0.41984732824427484,Construction and building inspectors,480581.8405
1021,0.0013910272616589668,306,0.41793893129770987,Software developers,11959067.176800001
2905,0.001388519708970392,307,0.416030534351145,"Broadcast, sound, and lighting technicians",558264.5099
8650,0.0013872646426747119,308,0.41412213740458015,"Crushing, grinding, polishing, mixing, and blending workers",453133.04459999996
4930,0.0013674710957427626,309,0.4122137404580153,Sales engineers,264468.335
5720,0.0013533911901122005,310,0.4103053435114504,Legal secretaries and administrative assistants,243158.3108
1105,0.0013507463852467554,311,0.40839694656488545,Network and computer systems administrators,1248317.8135000002
1410,0.0013470594296600045,312,0.4064885496183206,Electrical and electronics engineers,1649180.8932
1031,0.0013451211945279158,313,0.40458015267175573,Web developers,518930.69419999997
3330,0.001337150182797505,314,0.40267175572519087,Nuclear medicine technologists and medical dosimetrists,242008.05849999998
1530,0.0013318329769450375,315,0.4007633587786259,"Engineers, all other",3571174.1694
8710,0.0013274128244789062,316,0.39885496183206104,Cutting workers,294600.5536
4400,0.0013273208282522711,317,0.3969465648854962,Gambling services workers,456971.9584
3630,0.001325209590121489,318,0.3950381679389313,Massage therapists,988578.6348
3649,0.0013196523583184584,319,0.39312977099236646,Phlebotomists,704178.7231999999
6441,0.0013174117201042118,320,0.3912213740458015,Pipelayers,243841.1174
2013,0.001311445216468013,321,0.3893129770992366,Mental health and substance abuse social workers,98695.2564
9040,0.0013097496715576173,322,0.38740458015267176,Air traffic controllers and airfield operations specialists,198246.4971
2440,0.0013047559637565538,323,0.3854961832061069,Library technicians,168816.9332
810,0.0012940893962842693,324,0.38358778625954193,Property appraisers and assessors,422330.4787
7720,0.0012896708966873116,325,0.38167938931297707,"Electrical, electronics, and electromechanical assemblers",608596.4446
1720,0.0012799492047016415,326,0.3797709923664122,Chemists and materials scientists,489503.7098
1551,0.0012759647295996273,327,0.37786259541984735,Electrical and electronic engineering technologists and technicians,408177.8861
1106,0.001243942530749736,328,0.3759541984732825,Computer network architects,542222.3805
1545,0.0012339374705966806,329,0.3740458015267175,Other drafters,510904.3407
2805,0.0012049154225141825,330,0.37213740458015265,Broadcast announcers and radio disc jockeys,127200.9044
4465,0.001190358948997417,331,0.3702290076335878,"Morticians, undertakers, and funeral arrangers",193122.96860000002
2012,0.0011792060904170175,332,0.36832061068702293,Healthcare social workers,422876.6818
940,0.0011762345076336157,333,0.36641221374045807,Tax preparers,597213.7268000001
